mi|Xelaev18031563m.g|	 mylk4.L
mi|Xelaev18028937m.g|	 Xetrov90028147m.S
mi|Xelaev18001705m.g|	 loc101733787.1.L
mi|Xelaev18043557m.g|	 Xelaev18043557m.g
mi|Xelaev18013574m.g|	 calcoco1.L
mi|Xelaev18003836m.g|	 Xelaev18003836m.g
mi|Xelaev18012033m.g|	 Xelaev18012033m.g
mi|Xelaev18024215m.g|	 Xelaev18024215m.g
mi|Xelaev18022083m.g|	 loc100493937.L
mi|Xelaev18002642m.g|	 Xelaev18002642m.g
mi|Xelaev18008317m.g|	 nnt.L
mi|Xelaev18007179m.g|	 Xelaev18007179m.g
mi|Xelaev18014245m.g|	 Xelaev18014245m.g
mi|Xelaev18034437m.g|	 a1cf.L
mi|Xelaev18027818m.g|	 Xelaev18027818m.g
mi|Xelaev18012831m.g|	 Xelaev18012831m.g
mi|Xelaev18043336m.g|	 strada.L
mi|Xelaev18028246m.g|	 Xelaev18028246m.g
mi|Xelaev18006055m.g|	 Xelaev18006055m.g
mi|Xelaev18003066m.g|	 Xelaev18003066m.g
mi|Xelaev18035229m.g|	 vps26b.L
mi|Xelaev18032695m.g|	 loc100492514.S
mi|Xelaev18040867m.g|	 slc27a3.L
mi|Xelaev18024296m.g|	 muc2.S
mi|Xelaev18009518m.g|	 sdad1.S
mi|Xelaev18032800m.g|	 loc100497570.S
mi|Xelaev18016973m.g|	 loc100489356-like.L
mi|Xelaev18013769m.g|	 atp8a2.L
mi|Xelaev18028634m.g|	 Xelaev18028634m.g
mi|Xelaev18014892m.g|	 loc496913-like.S
mi|Xelaev18031152m.g|	 Xelaev18031152m.g
mi|Xelaev18034904m.g|	 Xelaev18034904m.g
mi|Xelaev18014059m.g|	 Xetrov90027868m.L
mi|Xelaev18031926m.g|	 Xelaev18031926m.g
mi|Xelaev18042938m.g|	 creb3l4.S
mi|Xelaev18010484m.g|	 loc100498286-like.S
mi|Xelaev18038164m.g|	 Xelaev18038164m.g
mi|Xelaev18013955m.g|	 Xelaev18013955m.g
mi|Xelaev18010955m.g|	 ccno.S
mi|Xelaev18032110m.g|	 Xelaev18032110m.g
mi|Xelaev18038335m.g|	 loc101733845.L
mi|Xelaev18012425m.g|	 Xelaev18012425m.g
mi|Xelaev18012843m.g|	 loc101731553.L
mi|Xelaev18043094m.g|	 klhl11.L
mi|Xelaev18032696m.g|	 loc100492687.S
mi|Xelaev18008337m.g|	 ttc33.L
mi|Xelaev18024482m.g|	 loc100497319-like.S
mi|Xelaev18013588m.g|	 amhr2.L
mi|Xelaev18017995m.g|	 acsbg1.L
mi|Xelaev18026180m.g|	 hhat.L
mi|Xelaev18028940m.g|	 oprm1.S
mi|Xelaev18014411m.g|	 b4galt4.S
mi|Xelaev18018009m.g|	 Xelaev18018009m.g
mi|Xelaev18019831m.g|	 Xelaev18019831m.g
mi|Xelaev18015811m.g|	 nckap5l.S
mi|Xelaev18018606m.g|	 c2orf68.L
mi|Xelaev18010264m.g|	 Xelaev18010264m.g
mi|Xelaev18018814m.g|	 whsc1l1.L
mi|Xelaev18044004m.g|	 Xelaev18044004m.g
mi|Xelaev18020338m.g|	 pcna.S
mi|Xelaev18006518m.g|	 loc100487203.L
mi|Xelaev18045306m.g|	 Xelaev18045306m.g
mi|Xelaev18007447m.g|	 sdsl.L
mi|Xelaev18038209m.g|	 Xelaev18038209m.g
mi|Xelaev18027942m.g|	 slco2a1.L
mi|Xelaev18045062m.g|	 kcnj12.L
mi|Xelaev18030165m.g|	 Xelaev18030165m.g
mi|Xelaev18013856m.g|	 endod1.L
